# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:12 AM CDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","23","Target 1","0.23837292194366455","-0.0027899383064259966","+ost 0 hpi","false"
"2","A2","24","Target 1","0.24006979167461395","-0.0015167407788239475","+ost 0 hpi","false"
"2","A2","25","Target 1","0.24083562195301056","-0.0011745827037747216","+ost 0 hpi","false"
"2","A2","26","Target 1","0.24145886301994324","-9.750138401893961E-4","+ost 0 hpi","false"
"2","A2","27","Target 1","0.24149568378925323","-0.0013618652742267792","+ost 0 hpi","false"
"2","A2","28","Target 1","0.24148236215114594","-0.0017988591156814595","+ost 0 hpi","false"
"2","A2","29","Target 1","0.24192498624324799","-0.0017799072269267893","+ost 0 hpi","false"
"2","A2","30","Target 1","0.2430282086133957","-0.001100357060126437","+ost 0 hpi","false"
"2","A2","31","Target 1","0.2432728409767151","-0.0012793969001544205","+ost 0 hpi","false"
"2","A2","32","Target 1","0.24451862275600433","-4.5728732421255536E-4","+ost 0 hpi","false"
"2","A2","33","Target 1","0.2460327446460724","6.33162362508146E-4","+ost 0 hpi","false"
