# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Cycle Number","FAM","ROX"
"4","A4","18","107048.64","450412.56"
"4","A4","19","107020.98","450003.97"
"4","A4","20","107212.92","449679.66"
"4","A4","21","106874.28","449376.62"
"4","A4","22","106818.18","449064.06"
"4","A4","23","107004.18","448649.0"
"4","A4","24","107019.29","448226.8"
"4","A4","25","107029.234","447772.53"
"4","A4","26","106999.62","447505.56"
"4","A4","27","106991.555","447285.4"
"4","A4","28","107027.08","446926.6"
"4","A4","29","107281.99","446576.53"
"4","A4","30","107327.39","446177.56"
"4","A4","31","107411.51","445798.1"
"4","A4","32","107235.016","445712.7"
"4","A4","33","107159.516","446004.25"
"4","A4","34","107314.06","445950.22"
"4","A4","35","107600.01","445672.06"
"4","A4","36","107599.36","445413.16"
"4","A4","37","107544.38","444895.28"
"4","A4","38","107701.33","444535.94"
"4","A4","39","107929.195","444419.22"
"4","A4","40","108014.016","444314.53"
"4","A4","41","108486.555","444288.06"
"13","B1","1","75082.36","301891.6"
"13","B1","2","91477.664","426633.16"
"13","B1","3","91732.22","426309.53"
"13","B1","4","92087.01","425432.2"
"13","B1","5","92704.23","424932.66"
"13","B1","6","93465.99","424702.0"
"13","B1","7","94325.69","424241.03"
"13","B1","8","96333.87","423597.06"
"13","B1","9","99965.84","422920.12"
"13","B1","10","106855.055","422133.62"
"13","B1","11","120599.734","421508.56"
"13","B1","12","145876.67","420993.2"
"13","B1","13","189932.03","420533.72"
"13","B1","14","260837.06","419964.06"
"13","B1","15","362550.56","419427.53"
"13","B1","16","490821.0","418586.78"
"13","B1","17","631373.25","418234.6"
"13","B1","18","768371.5","418259.3"
"13","B1","19","889859.44","417715.88"
"13","B1","20","991470.75","417290.97"
"13","B1","21","1072980.2","416877.62"
"13","B1","22","1135445.0","416467.53"
"13","B1","23","1182013.5","415835.97"
"13","B1","24","1216175.6","415468.75"
"13","B1","25","1238375.4","415163.0"
"13","B1","26","1255999.1","414859.75"
"13","B1","27","1267968.1","414453.22"
"13","B1","28","1278018.8","414211.6"
"13","B1","29","1284268.8","414094.7"
"13","B1","30","1289164.0","413845.8"
"13","B1","31","1293334.9","413520.53"
"13","B1","32","1296716.8","413250.34"
"13","B1","33","1300564.6","412870.56"
"13","B1","34","1304259.9","412694.2"
"13","B1","35","1304944.6","412625.53"
"13","B1","36","1306869.0","412226.47"
"13","B1","37","1310709.6","411984.12"
"13","B1","38","1312474.5","411725.66"
"13","B1","39","1314654.9","411111.38"
"13","B1","40","1314324.4","411058.47"
"13","B1","41","1316160.0","411457.9"
"14","B2","1","72006.59","263229.5"
"14","B2","2","97308.08","395871.6"
"14","B2","3","97475.82","395979.8"
"14","B2","4","97591.86","395631.25"
"14","B2","5","97775.23","395197.9"
"14","B2","6","97375.04","394687.56"
"14","B2","7","97191.03","393920.22"
"14","B2","8","97191.35","393430.44"
"14","B2","9","97110.18","392978.28"
"14","B2","10","97042.74","392561.5"
"14","B2","11","97023.75","392011.9"
"14","B2","12","96945.97","391453.94"
"14","B2","13","96872.805","391124.9"
"14","B2","14","96840.11","390985.4"
"14","B2","15","96856.34","390799.78"
"14","B2","16","96376.43","390480.66"
"14","B2","17","96387.29","389908.6"
"14","B2","18","96897.586","389612.75"
"14","B2","19","96773.4","389544.62"
"14","B2","20","96699.195","389150.2"
"14","B2","21","96911.125","388506.06"
"14","B2","22","97088.71","388221.34"
"14","B2","23","96765.77","388116.53"
"14","B2","24","96716.914","387708.94"
"14","B2","25","97049.375","387489.4"
"14","B2","26","97000.664","387452.3"
"14","B2","27","96978.484","387172.62"
"14","B2","28","97276.8","387005.22"
"14","B2","29","97397.07","386979.5"
"14","B2","30","97509.516","386579.5"
"14","B2","31","97654.445","386377.38"
"14","B2","32","97810.98","386340.2"
"14","B2","33","97994.52","386160.66"
"14","B2","34","98420.414","385918.75"
"14","B2","35","98732.36","385614.94"
"14","B2","36","98890.72","385126.12"
"14","B2","37","99562.91","384998.3"
"14","B2","38","99863.96","385053.28"
"14","B2","39","100679.164","384870.25"
"14","B2","40","101564.22","384694.12"
"14","B2","41","102712.29","384658.88"
"15","B3","1","73984.38","273290.6"
"15","B3","2","100901.09","423868.94"
"15","B3","3","101046.93","424049.62"
"15","B3","4","101219.766","423593.28"
"15","B3","5","101025.914","422905.84"
"15","B3","6","100613.09","422491.2"
"15","B3","7","100328.62","422284.5"
"15","B3","8","100185.35","421972.88"
"15","B3","9","100034.734","421524.72"
"15","B3","10","100030.66","420933.62"
"15","B3","11","100188.82","420428.12"
"15","B3","12","100331.53","420097.75"
"15","B3","13","100313.35","419926.6"
"15","B3","14","100284.97","419575.7"
"15","B3","15","100234.58","419018.4"
"15","B3","16","100185.3","418681.7"
"15","B3","17","100202.61","418480.84"
"15","B3","18","100411.08","418081.5"
"15","B3","19","100407.414","417718.47"
"15","B3","20","100355.76","417275.2"
"15","B3","21","100352.805","417014.38"
"15","B3","22","100530.25","416941.44"
"15","B3","23","100559.91","416721.38"
"15","B3","24","100701.664","416492.38"
"15","B3","25","100867.6","416355.7"
"15","B3","26","100876.375","416178.03"
"15","B3","27","101030.05","415947.12"
"15","B3","28","101111.03","415685.78"
"15","B3","29","101186.42","415331.75"
"15","B3","30","101574.71","415071.44"
"15","B3","31","101699.3","414785.06"
"15","B3","32","101957.65","414594.06"
"15","B3","33","102754.71","414475.03"
"15","B3","34","104224.59","414363.34"
"15","B3","35","106430.23","414275.1"
"15","B3","36","110628.7","413760.62"
"15","B3","37","117946.2","413513.62"
"15","B3","38","130244.18","413326.56"
"15","B3","39","150079.78","413112.56"
"15","B3","40","177727.52","412657.3"
"15","B3","41","204866.73","412546.22"
"16","B4","1","69177.59","261311.78"
"16","B4","2","95206.44","419276.34"
"16","B4","3","95424.01","419225.97"
"16","B4","4","95444.22","418878.56"
"16","B4","5","95419.05","418478.84"
"16","B4","6","95122.664","417888.0"
"16","B4","7","94974.914","417441.16"
"16","B4","8","95029.28","417148.44"
"16","B4","9","95056.195","417165.78"
"16","B4","10","94938.92","416910.4"
"16","B4","11","94838.83","416352.8"
"16","B4","12","94848.92","415535.84"
"16","B4","13","94763.48","415086.3"
"16","B4","14","94715.74","414907.25"
"16","B4","15","94790.14","415119.84"
"16","B4","16","94737.22","414797.06"
"16","B4","17","94684.82","414318.16"
"16","B4","18","94482.164","413525.12"
"16","B4","19","94394.78","413284.03"
"16","B4","20","94525.34","413697.4"
"16","B4","21","94703.15","413530.84"
"16","B4","22","94661.94","413078.97"
"16","B4","23","94595.18","412698.88"
"16","B4","24","94427.02","412256.3"
"16","B4","25","94266.375","411380.3"
"16","B4","26","94112.875","410995.47"
"16","B4","27","93814.94","410782.84"
"16","B4","28","93882.69","410599.16"
"16","B4","29","94484.2","410512.3"
"16","B4","30","94699.41","410240.75"
"16","B4","31","94465.75","409618.62"
"16","B4","32","94444.195","409470.06"
"16","B4","33","94829.46","409866.53"
"16","B4","34","94815.64","409931.16"
"16","B4","35","94723.7","409518.16"
"16","B4","36","94842.484","409477.12"
"16","B4","37","95174.63","409758.0"
"16","B4","38","95221.65","408374.97"
"16","B4","39","95153.87","407724.1"
"16","B4","40","95273.36","407741.12"
"16","B4","41","95355.125","408113.5"
"25","C1","1","68759.664","282445.4"
"25","C1","2","88786.85","412532.94"
"25","C1","3","89116.14","412421.06"
"25","C1","4","89311.82","412062.47"
"25","C1","5","89211.336","411403.62"
"25","C1","6","89038.45","410557.53"
"25","C1","7","89021.375","409849.34"
"25","C1","8","89395.98","409380.22"
"25","C1","9","89819.16","408904.5"
"25","C1","10","90521.54","408094.78"
"25","C1","11","91547.555","407427.44"
"25","C1","12","92942.125","406999.0"
"25","C1","13","95443.21","406627.1"
"25","C1","14","100535.016","406299.22"
"25","C1","15","110364.68","406045.03"
"25","C1","16","128322.51","405517.88"
"25","C1","17","160824.56","405059.94"
"25","C1","18","215483.69","404476.72"
"25","C1","19","299222.72","404074.12"
"25","C1","20","412643.0","403669.5"
"25","C1","21","545828.5","403313.53"
"25","C1","22","682105.2","403020.6"
"25","C1","23","808487.94","402753.3"
"25","C1","24","916637.06","402433.5"
"25","C1","25","1006382.2","402073.94"
"25","C1","26","1076021.4","401743.34"
"25","C1","27","1128869.5","401462.5"
"25","C1","28","1167907.0","401090.72"
"25","C1","29","1197568.6","400339.47"
"25","C1","30","1218543.8","400043.2"
"25","C1","31","1232734.2","399976.56"
"25","C1","32","1242992.0","399789.8"
"25","C1","33","1250248.1","399448.53"
"25","C1","34","1255670.2","399153.06"
"25","C1","35","1260214.6","398999.84"
"25","C1","36","1264304.9","398920.6"
"25","C1","37","1265610.5","398751.03"
"25","C1","38","1271024.9","398331.66"
