Max 1 [volts]	Max 2 [volts]	Max 3 [volts]	Max 4 [volts]	Sum 1 [volts]	Sum 2 [volts]	Sum 3 [volts]	Sum 4 [volts]	Avg 1 [volts]	Avg 2 [volts]	Avg 3 [volts]	Avg 4 [volts]	Time inside [ms]	Time outside [ms]	Sort?
0.000000000000000	0.090026855468750	0.082397460937500	0.173339843750000	0.000000000000000	21.715087890625000	24.678955078125000	65.283203125000000	0.000000000000000	0.048522949218750	0.055236816406250	0.146484375000000	4.450000000000000	1390.730000000000020	0.000000000000000
0.000000000000000	0.105895996093750	0.098266601562500	0.260925292968750	0.000000000000000	35.640869140625000	32.261657714843750	109.646606445312500	0.000000000000000	0.071716308593750	0.065002441406250	0.220947265625000	4.960000000000000	1450.309999999999940	0.000000000000000
0.000000000000000	0.277709960937500	0.123596191406250	0.325317382812500	0.000000000000000	113.696899414062500	41.962585449218750	136.945800781250000	0.000000000000000	0.231323242187500	0.085449218750000	0.278625488281250	4.910000000000000	1382.619999999999890	0.000000000000000
0.000000000000000	0.007629394531250	0.100097656250000	0.204162597656250	0.000000000000000	0.303344726562500	29.714050292968750	70.634155273437500	0.000000000000000	0.000610351562500	0.072326660156250	0.172119140625000	4.100000000000000	581.889999999999986	0.000000000000000
0.000000000000000	0.255126953125000	0.149841308593750	0.309448242187500	0.000000000000000	111.719970703125000	51.442260742187500	139.678649902343750	0.000000000000000	0.205078125000000	0.094299316406250	0.256652832031250	5.440000000000000	1052.410000000000080	0.000000000000000
0.000000000000000	0.225524902343750	0.132446289062500	0.275878906250000	0.000000000000000	97.480468750000000	45.368652343750000	121.556701660156250	0.000000000000000	0.185852050781250	0.086364746093750	0.231933593750000	5.240000000000000	1013.720000000000030	0.000000000000000
0.000000000000000	0.265197753906250	0.173950195312500	0.353393554687500	0.000000000000000	113.563232421875000	67.857666015625000	167.583312988281250	0.000000000000000	0.194396972656250	0.115966796875000	0.286865234375000	5.840000000000000	508.779999999999972	0.000000000000000
0.000000000000000	0.224304199218750	0.121765136718750	0.274047851562500	0.000000000000000	85.234375000000000	40.248107910156250	116.757507324218750	0.000000000000000	0.167236328125000	0.079040527343750	0.229187011718750	5.090000000000000	307.480000000000018	0.000000000000000
0.000000000000000	0.231323242187500	0.134582519531250	0.301513671875000	0.000000000000000	96.646423339843750	50.110168457031250	138.880615234375000	0.000000000000000	0.174560546875000	0.090332031250000	0.250854492187500	5.530000000000000	11.220000000000001	0.000000000000000
0.000000000000000	0.192871093750000	0.125427246093750	0.285949707031250	0.000000000000000	73.072814941406250	42.759399414062500	123.186645507812500	0.000000000000000	0.143127441406250	0.083618164062500	0.241394042968750	5.100000000000000	484.610000000000013	0.000000000000000
0.000000000000000	0.174865722656250	0.162048339843750	0.250549316406250	0.000000000000000	62.431945800781250	62.567749023437500	115.161132812500000	0.000000000000000	0.106201171875000	0.106506347656250	0.195922851562500	5.870000000000000	483.189999999999997	0.000000000000000
0.000000000000000	0.154724121093750	0.165100097656250	0.275573730468750	0.000000000000000	55.104370117187500	67.937927246093750	130.947570800781250	0.000000000000000	0.094604492187500	0.116882324218750	0.225219726562500	5.810000000000000	533.799999999999954	0.000000000000000
0.000000000000000	0.210876464843750	0.117492675781250	0.249023437500000	0.000000000000000	76.003112792968750	37.225952148437500	96.023559570312500	0.000000000000000	0.160217285156250	0.078430175781250	0.202331542968750	4.740000000000000	272.509999999999991	0.000000000000000
0.000000000000000	0.242004394531250	0.160217285156250	0.321655273437500	0.000000000000000	111.053771972656250	66.365661621093750	157.968444824218750	0.000000000000000	0.183715820312500	0.109863281250000	0.261535644531250	6.040000000000000	380.040000000000020	0.000000000000000
0.000000000000000	0.227050781250000	0.142211914062500	0.311584472656250	0.000000000000000	97.247619628906250	51.384887695312500	144.873962402343750	0.000000000000000	0.175476074218750	0.092468261718750	0.261230468750000	5.540000000000000	231.560000000000002	0.000000000000000
0.000000000000000	0.236816406250000	0.148315429687500	0.313110351562500	0.000000000000000	102.070617675781250	56.805114746093750	150.127258300781250	0.000000000000000	0.178222656250000	0.099182128906250	0.262451171875000	5.720000000000000	256.060000000000002	0.000000000000000
0.000000000000000	0.263061523437500	0.150146484375000	0.319519042968750	0.000000000000000	108.973388671875000	59.823608398437500	147.749633789062500	0.000000000000000	0.192871093750000	0.105590820312500	0.261230468750000	5.650000000000000	119.079999999999998	0.000000000000000
0.000000000000000	0.244750976562500	0.140380859375000	0.317687988281250	0.000000000000000	103.010559082031250	55.366210937500000	144.666137695312500	0.000000000000000	0.186462402343750	0.100097656250000	0.261840820312500	5.520000000000000	194.610000000000013	0.000000000000000
0.000000000000000	0.239562988281250	0.143737792968750	0.309448242187500	0.000000000000000	94.804382324218750	48.911743164062500	132.047424316406250	0.000000000000000	0.183105468750000	0.094604492187500	0.255126953125000	5.170000000000000	360.449999999999988	0.000000000000000
0.000000000000000	0.232238769531250	0.163574218750000	0.307922363281250	0.000000000000000	96.500854492187500	63.309631347656250	141.911315917968750	0.000000000000000	0.163574218750000	0.107421875000000	0.240783691406250	5.890000000000000	353.339999999999975	0.000000000000000
0.000000000000000	0.240783691406250	0.161743164062500	0.328979492187500	0.000000000000000	97.455749511718750	62.540893554687500	151.134948730468750	0.000000000000000	0.170898437500000	0.109558105468750	0.264892578125000	5.700000000000000	180.520000000000010	0.000000000000000
0.000000000000000	0.120849609375000	0.049133300781250	0.149841308593750	0.000000000000000	12.940063476562500	5.041809082031250	17.365722656250000	0.000000000000000	0.091552734375000	0.035705566406250	0.122985839843750	1.410000000000000	714.679999999999949	0.000000000000000
