19	19	19	19	19	20	20	20	20	20	21	21	21	21	21	22	22	22	22
1	2	3	3	3	1	2	3	3	3	1	2	3	3	3	2	3	3	3
1	1	1	2	3	1	1	1	2	3	1	1	1	2	3	1	1	2	3
222.817808	185.3997334	143.617104	223.4891351	202.5716108	181.1498215	134.338199	246.5666009	150.8499191	197.6556	181.1498215	131.0500666	234.7444491	258.9841375	158.4469918	134.338199	162.3878219	179.1559722	272.0270435
240.805772	190.0515347	170.5659641	183.6118677	192.8588909	260.2458949	141.1640381	252.6991066	179.1559722	202.5716108	253.5974541	131.0500666	192.8588909	223.4891351	188.1785885	134.338199	117.9914392	143.617104	188.1785885
167.6181007	167.903598	166.4266667	183.6118677	188.1785885	267.0686346	144.7059367	154.6017979	158.4469918	207.6098907	253.5974541	85.9960612	300.1165288	202.5716108	123.9336999	131.0500666	130.1752234	150.8499191	272.0270435
217.1255338	155.8738189	143.617104	183.6118677	162.3878219	176.5220296	124.7132781	246.5666009	166.4266667	192.8588909	176.5220296	112.9441112	212.7734807	136.7310813	170.5659641	118.6828983	127.0161292	166.4266667	347.7816509
228.6593138	172.1164097	162.3878219	162.3878219	192.8588909	195.773951	141.1640381	183.6118677	154.6017979	212.7734807	260.2458949	102.2855983	223.4891351	229.0476673	174.8082124	104.8520112	174.8082124	197.6556	292.8332965
195.773951	199.708216	162.3878219	188.1785885	174.8082124	195.773951	137.7088328	285.7268137	174.8082124	192.8588909	75.14705509	121.6607303	272.0270435	197.6556	136.7310813	107.4828172	154.6017979	192.8588909	246.5666009
195.773951	148.3367038	150.8499191	174.8082124	179.1559722	228.6593138	152.0585693	212.7734807	202.5716108	197.6556	195.773951	97.33968541	258.9841375	212.7734807	223.4891351	124.7132781	170.5659641	130.1752234	315.2309359
222.817808	141.1640381	197.6556	183.6118677	166.4266667	181.1498215	134.338199	278.7927911	150.8499191	179.1559722	200.9064612	131.0500666	229.0476673	170.5659641	223.4891351	141.1640381	143.617104	154.6017979	258.9841375
234.6539635	155.8738189	218.0654975	147.1890911	212.7734807	159.163294	137.7088328	246.5666009	150.8499191	183.6118677	253.5974541	97.33968541	179.1559722	162.3878219	246.5666009	127.8424163	150.8499191	179.1559722	331.1065316
